2006	Dd;E	LIROLA	Fiorentina	8
226	Dd;Dc	IZZO	Torino	8
2181	Dc	PALOMINO	Atalanta	8
2572	Dc	GODIN	Cagliari	8
600	C;T	VERRE	Sampdoria	8
4681	C;T	LOPEZ M.	Sassuolo	8
2009	C;T	LUKIC	Torino	8
5007	C;T	ILIC	Verona	8
537	A	SANSONE	Bologna	8
475	A	IAGO FALQUE	Torino	8
406	W	CALLEJON	Fiorentina	7
2472	T	RAMSEY	Juventus	7
5005	Por	ZOET	Spezia	7
4477	Pc	LA MANTIA	Empoli	7
2038	Pc	PINAMONTI	Inter	7
4869	M;C	DOMINGUEZ	Bologna	7
2076	M;C	ROG	Cagliari	7
4522	M;C	AMRABAT	Fiorentina	7
779	M;C	CRISTANTE	Roma	7
2703	M;C	ADRIEN SILVA	Sampdoria	7
4890	M;C	TAMEZE	Verona	7
770	E	PEZZELLA GIU.	Atalanta	7
5332	Ds;E	BASTONI S.	Spezia	7
4323	Ds;E	ZEEGELAAR	Udinese	7
487	Dd;E	DE SILVESTRI	Bologna	7
4461	Dd;E	ZAPPA	Cagliari	7
2104	Dd;E	BERESZYNSKI	Sampdoria	7
4521	Dd;E	MULDUR	Sassuolo	7
2315	Dd;E	STRYGER LARSEN	Udinese	7
140	Dd;Ds;E	HYSAJ	Lazio	7
2188	Dd;Ds;E	MARUSIC	Lazio	7
5475	Dd;Dc	AMIAN	Spezia	7
2192	Dc	BONIFAZI	Bologna	7
4891	Dc	SOUMAORO	Bologna	7
2335	Dc	LUIZ FELIPE	Lazio	7
460	Dc	ROMAGNOLI	Milan	7
4331	Dc	IBANEZ	Roma	7
4982	Dc	ERLIC	Spezia	7
5514	Dc	VASQUEZ	Genoa	7
2453	Dc	NASTASIC	Fiorentina	7
4479	C;T	ELMAS	Napoli	7
2414	C	VIDAL	Inter	7
2848	C	FRATTESI	Sassuolo	7
2195	A	OUNAS	Napoli	7
5515	A	OKEREKE	Venezia	7
2692	W	CASTILLEJO	Milan	6
4515	T;A	AGUDELO	Genoa	6
4964	Por	VICARIO	Empoli	6
5471	Pc	DJURIC	Salernitana	6
4453	Pc	TORREGROSSA	Sampdoria	6
801	M;C	GAGLIARDINI	Inter	6
4285	M;C	ARTHUR	Juventus	6
2391	M;C	EKDAL	Sampdoria	6
5312	M;C	LEO' SENA	Spezia	6
5488	M;C	FIORDILINO	Venezia	6
4423	M;C	HERNANI	Genoa	6
238	M	RINCON	Torino	6
2392	M	WALACE	Udinese	6
4899	E	SINGO	Torino	6
4994	E	VOJVODA	Torino	6
2746	Ds;E	DIJKS	Bologna	6
4881	Ds;E	CZYBORRA	Genoa	6
4530	Ds;E	KYRIAKOPOULOS	Sassuolo	6
2318	Ds;E	ROGERIO	Sassuolo	6
5483	Ds;E	SCHNEGG	Venezia	6
2252	Ds;Dc	MARCHIZZA	Empoli	6
2724	Ds;Dc	BUONGIORNO	Torino	6
791	Dd;E	SABELLI	Genoa	6
4426	Dd;Ds;E	TOLJAN	Sassuolo	6
253	Dd;Ds;Dc	D'AMBROSIO	Inter	6
2083	Dd;Dc;E	BIRASCHI	Genoa	6
640	Dd;Dc	CHIRICHES	Sassuolo	6
1866	Dc	CEPPITELLI	Cagliari	6
4374	Dc	WALUKIEWICZ	Cagliari	6
2328	Dc	VANHEUSDEN	Genoa	6
4495	Dc	KUMBULLA	Roma	6
5010	Dc	ISMAJLI	Empoli	6
2171	Dc	LYANCO	Torino	6
4493	Dc	DAWIDOWICZ	Verona	6
2758	Dc	GUNTER	Verona	6
2161	C	HAAS	Empoli	6
1978	C	SENSI	Inter	6
5298	C	POBEGA	Milan	6
1879	A	FARIAS	Cagliari	6
184	W;T	BERNARDESCHI	Juventus	5
720	Por	BELEC	Salernitana	5
158	Por	LEZZERINI	Venezia	5
5391	Pc	KOKORIN	Fiorentina	5
5460	Pc	SATRIANO	Inter	5
5505	Pc	KAIO JORGE	Juventus	5
5453	M;C	RICCI S.	Empoli	5
2778	M;C	STULAC	Empoli	5
305	M;C	STURARO	Genoa	5
181	M;C	VECINO	Inter	5
4449	M;C	TONALI	Milan	5
4287	M;C	LOBOTKA	Napoli	5
58	M;C	DIAWARA	Roma	5
4885	M;C	VILLAR	Roma	5
5490	M;C	PERETZ	Venezia	5
5492	M;C	TESSMANN	Venezia	5
